# number of input values: 16
#n_vals=16
# max_t=1.600000e+01, dt=1.000000e+00
#maximum blocking level=1, 16 values in results
#time	 product(acf)
1.000000e+00	 59742.842656
2.000000e+00	 50378.301170
3.000000e+00	 39168.085998
4.000000e+00	 30537.398440
5.000000e+00	 19604.439959
6.000000e+00	 15093.864570
7.000000e+00	 15743.954746
8.000000e+00	 15503.890065
9.000000e+00	 17361.458514
1.000000e+01	 20353.023629
1.100000e+01	 20258.882805
1.200000e+01	 17794.954351
1.300000e+01	 14858.556617
1.400000e+01	 14592.131552
1.500000e+01	 20278.707889
1.600000e+01	 16765.882968
