# number of input values: 40
#n_vals=40
# max_t=2.000000e+03, dt=5.000000e+01
#maximum blocking level=1, 42 values in results
#time	 product(acf)
0.000000e+00	 0.000000e+00
5.000000e+01	 1.481854e+02
1.000000e+02	 2.564976e+02
1.500000e+02	 4.041651e+02
2.000000e+02	 5.862435e+02
2.500000e+02	 7.133107e+02
3.000000e+02	 8.439884e+02
3.500000e+02	 1.001311e+03
4.000000e+02	 1.125803e+03
4.500000e+02	 1.286338e+03
5.000000e+02	 1.384240e+03
5.500000e+02	 1.456065e+03
6.000000e+02	 1.540197e+03
6.500000e+02	 1.549838e+03
7.000000e+02	 1.571929e+03
7.500000e+02	 1.576421e+03
8.000000e+02	 1.579273e+03
8.500000e+02	 1.511189e+03
9.000000e+02	 1.497775e+03
9.500000e+02	 1.469253e+03
1.000000e+03	 1.451562e+03
1.050000e+03	 1.506912e+03
1.100000e+03	 1.604220e+03
1.150000e+03	 1.725886e+03
1.200000e+03	 1.827055e+03
1.250000e+03	 1.977155e+03
1.300000e+03	 2.120795e+03
1.350000e+03	 2.296569e+03
1.400000e+03	 2.404925e+03
1.450000e+03	 2.592982e+03
1.500000e+03	 2.712580e+03
1.550000e+03	 2.775501e+03
1.600000e+03	 2.938872e+03
1.650000e+03	 2.839927e+03
1.700000e+03	 2.633956e+03
1.750000e+03	 2.450692e+03
1.800000e+03	 2.244187e+03
1.850000e+03	 1.845441e+03
1.900000e+03	 1.957091e+03
1.950000e+03	 1.405999e+03
2.000000e+03	 nan
2.050000e+03	 -0.000000e+00
